kode_provinsi,nama_provinsi,kode_kabkota,nama_kabkota,tahun,jumlah_penduduk_miskin,persen_penduduk_miskin,indeks_p1,indeks_p2,garis_kemiskinan
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,2009,25000,21.33,3.06,0.7,231758
11,Prov. Nanggroe Aceh Darussalam,1112,Kab. Aceh Barat Daya,2010,25200,19.93,3.31,0.84,252217
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,2007,23100,32.31,4.89,1.12,203848
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,2008,18900,26.57,4.85,1.09,231260
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,2009,17100,24.22,5.31,1.8,232481
11,Prov. Nanggroe Aceh Darussalam,1113,Kab. Gayo Lues,2010,19100,23.9,3.4,0.8,253004
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,2007,50800,22.19,4.35,1.39,206110
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,2008,50800,22.29,3.58,0.88,240753
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,2009,45300,19.96,3.43,1,274295
11,Prov. Nanggroe Aceh Darussalam,1114,Kab. Aceh Tamiang,2010,45200,17.98,2.7,0.64,298509
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,2007,40000,33.61,7.75,2.55,257193
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,2008,33200,28.11,7.62,2.26,288593
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,2009,30900,26.22,5.12,1.47,294493
11,Prov. Nanggroe Aceh Darussalam,1115,Kab. Nagan Raya,2010,33500,24.06,4.43,1.15,320490
11,Prov. Nanggroe Aceh Darussalam,1116,Kab. Aceh Jaya,2007,19500,29.28,5.46,1.57,212762
11,Prov. Nanggroe Aceh Darussalam,1116,Kab. Aceh Jaya,2008,17200,23.86,5.79,1.94,215382
11,Prov. Nanggroe Aceh Darussalam,1116,Kab. Aceh Jaya,2009,17100,21.86,4.49,1.37,254156
11,Prov. Nanggroe Aceh Darussalam,1116,Kab. Aceh Jaya,2010,15600,20.17,3.67,1.09,267057
11,Prov. Nanggroe Aceh Darussalam,1117,Kab. Bener Meriah,2007,28100,26.55,4.34,1.14,252495
11,Prov. Nanggroe Aceh Darussalam,1117,Kab. Bener Meriah,2008,31300,29.21,5.13,1.11,272217
11,Prov. Nanggroe Aceh Darussalam,1117,Kab. Bener Meriah,2009,28600,26.58,4.14,0.98,274560
11,Prov. Nanggroe Aceh Darussalam,1117,Kab. Bener Meriah,2010,32100,26.22,3.64,0.79,298798
11,Prov. Nanggroe Aceh Darussalam,1118,Kab. Pidie Jaya,2007,43300,35,4.84,0.99,228601
11,Prov. Nanggroe Aceh Darussalam,1118,Kab. Pidie Jaya,2008,37700,30.26,8.33,2.57,274078
11,Prov. Nanggroe Aceh Darussalam,1118,Kab. Pidie Jaya,2009,35600,27.97,4.75,1.33,309857
11,Prov. Nanggroe Aceh Darussalam,1118,Kab. Pidie Jaya,2010,34700,26.07,3.78,0.8,337211
11,Prov. Nanggroe Aceh Darussalam,1171,Kota Banda Aceh,2007,14000,6.61,0.93,0.2,346750
11,Prov. Nanggroe Aceh Darussalam,1171,Kota Banda Aceh,2008,19900,9.56,3.44,1.31,362992
11,Prov. Nanggroe Aceh Darussalam,1171,Kota Banda Aceh,2009,17300,8.64,1.55,0.36,414172
11,Prov. Nanggroe Aceh Darussalam,1171,Kota Banda Aceh,2010,20800,9.19,1.46,0.36,435191
11,Prov. Nanggroe Aceh Darussalam,1172,Kota Sabang,2007,7800,27.13,5.23,1.38,300351
11,Prov. Nanggroe Aceh Darussalam,1172,Kota Sabang,2008,7100,25.72,6.16,1.82,310697
11,Prov. Nanggroe Aceh Darussalam,1172,Kota Sabang,2009,6500,23.89,3.81,0.93,368637
11,Prov. Nanggroe Aceh Darussalam,1172,Kota Sabang,2010,6700,21.68,4.36,1.4,401180
11,Prov. Nanggroe Aceh Darussalam,1173,Kota Langsa,2007,19100,14.25,2.33,0.6,175149
11,Prov. Nanggroe Aceh Darussalam,1173,Kota Langsa,2008,24000,17.97,3.88,1.31,199628
11,Prov. Nanggroe Aceh Darussalam,1173,Kota Langsa,2009,21300,16.2,2.92,0.79,248283
11,Prov. Nanggroe Aceh Darussalam,1173,Kota Langsa,2010,22400,15.01,3.09,1.11,270201
11,Prov. Nanggroe Aceh Darussalam,1174,Kota Lhokseumawe,2007,19400,12.75,3.2,1.09,177523
11,Prov. Nanggroe Aceh Darussalam,1174,Kota Lhokseumawe,2008,23900,15.87,2.77,0.72,194884
11,Prov. Nanggroe Aceh Darussalam,1174,Kota Lhokseumawe,2009,22500,15.08,1.78,0.37,246539
11,Prov. Nanggroe Aceh Darussalam,1174,Kota Lhokseumawe,2010,24100,14.07,2.68,0.83,268303
11,Prov. Nanggroe Aceh Darussalam,1175,Kota Subulussalam,2007,18700,30.16,4.64,1.17,
11,Prov. Nanggroe Aceh Darussalam,1175,Kota Subulussalam,2008,17700,28.99,5.11,1.28,168953
11,Prov. Nanggroe Aceh Darussalam,1175,Kota Subulussalam,2009,16800,26.8,4.97,1.52,201149
11,Prov. Nanggroe Aceh Darussalam,1175,Kota Subulussalam,2010,16500,24.33,4.87,1.43,218906
12,Prov. Sumatera Utara,1175,Kota Subulussalam,2007,,,,,166693
12,Prov. Sumatera Utara,1201,Kab. Nias,2007,139300,31.75,4.32,0.95,163308
12,Prov. Sumatera Utara,1201,Kab. Nias,2008,110600,25.19,3.9,0.86,203882
12,Prov. Sumatera Utara,1201,Kab. Nias,2009,98900,22.57,5.23,1.76,214244
12,Prov. Sumatera Utara,1201,Kab. Nias,2010,26400,19.97,4.14,1.27,233876
12,Prov. Sumatera Utara,1202,Kab. Mandailing Natal,2007,77400,18.74,2.75,0.59,166287
12,Prov. Sumatera Utara,1202,Kab. Mandailing Natal,2008,60700,14.46,2.17,0.46,180164
12,Prov. Sumatera Utara,1202,Kab. Mandailing Natal,2009,55200,13.02,1.95,0.46,210060
12,Prov. Sumatera Utara,1202,Kab. Mandailing Natal,2010,51000,12.6,1.53,0.32,229308
12,Prov. Sumatera Utara,1203,Kab. Tapanuli Selatan,2007,128400,20.33,2.4,0.44,175724
12,Prov. Sumatera Utara,1203,Kab. Tapanuli Selatan,2008,87600,13.77,1.46,0.25,188158
12,Prov. Sumatera Utara,1203,Kab. Tapanuli Selatan,2009,33200,12.67,1.57,0.32,221497
12,Prov. Sumatera Utara,1203,Kab. Tapanuli Selatan,2010,31600,11.96,1.25,0.2,241793
12,Prov. Sumatera Utara,1204,Kab. Tapanuli Tengah,2007,83100,27.47,5.05,1.39,179440
12,Prov. Sumatera Utara,1204,Kab. Tapanuli Tengah,2008,60400,19.35,3.96,0.95,210534
12,Prov. Sumatera Utara,1204,Kab. Tapanuli Tengah,2009,57000,17.83,2.8,0.65,216405
12,Prov. Sumatera Utara,1204,Kab. Tapanuli Tengah,2010,52200,16.73,2.86,0.75,240457
12,Prov. Sumatera Utara,1205,Kab. Tapanuli Utara,2007,52400,20.06,2.83,0.74,168539
12,Prov. Sumatera Utara,1205,Kab. Tapanuli Utara,2008,37500,14.15,1.73,0.32,183605
12,Prov. Sumatera Utara,1205,Kab. Tapanuli Utara,2009,35100,13.1,1.5,0.27,211814
12,Prov. Sumatera Utara,1205,Kab. Tapanuli Utara,2010,34900,12.49,2.12,0.5,235356
12,Prov. Sumatera Utara,1206,Kab. Toba Samosir,2007,25600,15.28,2.13,0.46,191574
12,Prov. Sumatera Utara,1206,Kab. Toba Samosir,2008,19800,11.62,2.35,0.63,209225
12,Prov. Sumatera Utara,1206,Kab. Toba Samosir,2009,17300,10.07,1.19,0.26,213848
12,Prov. Sumatera Utara,1206,Kab. Toba Samosir,2010,17600,10.15,1.64,0.38,237369
12,Prov. Sumatera Utara,1207,Kab. Labuhan Batu,2007,123400,12.33,2.05,0.57,184401
12,Prov. Sumatera Utara,1207,Kab. Labuhan Batu,2008,109700,10.76,1.65,0.43,193743
12,Prov. Sumatera Utara,1207,Kab. Labuhan Batu,2009,102100,9.85,1.38,0.33,223935
12,Prov. Sumatera Utara,1207,Kab. Labuhan Batu,2010,44300,10.67,2.25,0.62,244455
12,Prov. Sumatera Utara,1208,Kab. Asahan,2007,91800,13.77,2.2,0.53,161480
12,Prov. Sumatera Utara,1208,Kab. Asahan,2008,88000,12.89,2.03,0.47,174787
12,Prov. Sumatera Utara,1208,Kab. Asahan,2009,83700,12.09,1.96,0.54,202180
